7.04,0.69,-1.35
7.09,0.66,-1.08
6.62,0.10,-1.09
6.15,-0.37,-1.04
5.60,-1.01,-0.99
5.04,-1.48,-0.92
4.37,-1.99,-0.84
3.59,-2.52,-0.74
2.73,-3.01,-0.62
1.88,-3.41,-0.51
1.05,-3.70,-0.41
0.23,-3.90,-0.28
-0.53,-4.02,-0.16
-1.48,-4.17,0.00
-2.43,-4.26,0.16
-3.40,-4.19,0.34
-4.22,-4.04,0.50
-5.04,-3.81,0.66
-5.74,-3.57,0.81
-6.29,-3.36,0.93
